% The dataset contains car specifications and purchase and maintenance costs, with the goal of determining which combinations of specifications and costs are acceptable.
@relation 'Automotive Trading#car'
@attribute 'Purchase Price: The purchase price.' {very_high, high, medium, low}
@attribute 'Maintenance Price: The maintenance price.' {very_high, high, medium, low}
@attribute 'Doors: The number of doors the car has.' {2, 3, 4, more}
@attribute 'Persons: The capacity in terms of the number of people it can carry.' {2, 4, more}
@attribute 'Boot: The size of the boot.' {small, medium, big}
@attribute 'Safety: The estimated safety of the car.' {low, medium, high}
@attribute 'Rating: The rating of the potential purchase.' {unacceptable, acceptable, good, very_good}
@data
low,very_high,3,more,big,medium,acceptable
low,very_high,3,more,big,high,acceptable
low,very_high,4,2,small,low,unacceptable
low,very_high,4,2,small,medium,unacceptable
low,very_high,4,2,small,high,unacceptable
low,very_high,4,2,medium,low,unacceptable
low,very_high,4,2,medium,medium,unacceptable
low,very_high,4,2,medium,high,unacceptable
low,very_high,4,2,big,low,unacceptable
low,very_high,4,2,big,medium,unacceptable
low,very_high,4,2,big,high,unacceptable
low,very_high,4,4,small,low,unacceptable
low,very_high,4,4,small,medium,unacceptable
low,very_high,4,4,small,high,acceptable
low,very_high,4,4,medium,low,unacceptable
low,very_high,4,4,medium,medium,acceptable
low,very_high,4,4,medium,high,acceptable
low,very_high,4,4,big,low,unacceptable
low,very_high,4,4,big,medium,acceptable
low,very_high,4,4,big,high,acceptable
low,very_high,4,more,small,low,unacceptable
low,very_high,4,more,small,medium,unacceptable
low,very_high,4,more,small,high,acceptable
low,very_high,4,more,medium,low,unacceptable
low,very_high,4,more,medium,medium,acceptable
low,very_high,4,more,medium,high,acceptable
low,very_high,4,more,big,low,unacceptable
low,very_high,4,more,big,medium,acceptable
low,very_high,4,more,big,high,acceptable
low,very_high,more,2,small,low,unacceptable
low,very_high,more,2,small,medium,unacceptable
low,very_high,more,2,small,high,unacceptable
low,very_high,more,2,medium,low,unacceptable
low,very_high,more,2,medium,medium,unacceptable
low,very_high,more,2,medium,high,unacceptable
low,very_high,more,2,big,low,unacceptable
low,very_high,more,2,big,medium,unacceptable
low,very_high,more,2,big,high,unacceptable
low,very_high,more,4,small,low,unacceptable
low,very_high,more,4,small,medium,unacceptable
low,very_high,more,4,small,high,acceptable
low,very_high,more,4,medium,low,unacceptable
low,very_high,more,4,medium,medium,acceptable
low,very_high,more,4,medium,high,acceptable
low,very_high,more,4,big,low,unacceptable
low,very_high,more,4,big,medium,acceptable
low,very_high,more,4,big,high,acceptable
low,very_high,more,more,small,low,unacceptable
low,very_high,more,more,small,medium,unacceptable
low,very_high,more,more,small,high,acceptable
low,very_high,more,more,medium,low,unacceptable
low,very_high,more,more,medium,medium,acceptable
low,very_high,more,more,medium,high,acceptable
low,very_high,more,more,big,low,unacceptable
low,very_high,more,more,big,medium,acceptable
low,very_high,more,more,big,high,acceptable
low,high,2,2,small,low,unacceptable
low,high,2,2,small,medium,unacceptable
low,high,2,2,small,high,unacceptable
low,high,2,2,medium,low,unacceptable
low,high,2,2,medium,medium,unacceptable
low,high,2,2,medium,high,unacceptable
low,high,2,2,big,low,unacceptable
low,high,2,2,big,medium,unacceptable
low,high,2,2,big,high,unacceptable
low,high,2,4,small,low,unacceptable
low,high,2,4,small,medium,acceptable
low,high,2,4,small,high,acceptable
low,high,2,4,medium,low,unacceptable
low,high,2,4,medium,medium,acceptable
low,high,2,4,medium,high,acceptable
low,high,2,4,big,low,unacceptable
low,high,2,4,big,medium,acceptable
low,high,2,4,big,high,very_good
low,high,2,more,small,low,unacceptable
low,high,2,more,small,medium,unacceptable
low,high,2,more,small,high,unacceptable
low,high,2,more,medium,low,unacceptable
low,high,2,more,medium,medium,acceptable
low,high,2,more,medium,high,acceptable
low,high,2,more,big,low,unacceptable
low,high,2,more,big,medium,acceptable
low,high,2,more,big,high,very_good
low,high,3,2,small,low,unacceptable
low,high,3,2,small,medium,unacceptable
low,high,3,2,small,high,unacceptable
low,high,3,2,medium,low,unacceptable
low,high,3,2,medium,medium,unacceptable
low,high,3,2,medium,high,unacceptable
low,high,3,2,big,low,unacceptable
low,high,3,2,big,medium,unacceptable
low,high,3,2,big,high,unacceptable
low,high,3,4,small,low,unacceptable
low,high,3,4,small,medium,acceptable
low,high,3,4,small,high,acceptable
low,high,3,4,medium,low,unacceptable
low,high,3,4,medium,medium,acceptable
low,high,3,4,medium,high,acceptable
low,high,3,4,big,low,unacceptable
low,high,3,4,big,medium,acceptable
low,high,3,4,big,high,very_good
low,high,3,more,small,low,unacceptable
low,high,3,more,small,medium,acceptable
low,high,3,more,small,high,acceptable
low,high,3,more,medium,low,unacceptable
low,high,3,more,medium,medium,acceptable
low,high,3,more,medium,high,very_good
low,high,3,more,big,low,unacceptable
low,high,3,more,big,medium,acceptable
low,high,3,more,big,high,very_good
low,high,4,2,small,low,unacceptable
low,high,4,2,small,medium,unacceptable
low,high,4,2,small,high,unacceptable
low,high,4,2,medium,low,unacceptable
low,high,4,2,medium,medium,unacceptable
low,high,4,2,medium,high,unacceptable
low,high,4,2,big,low,unacceptable
low,high,4,2,big,medium,unacceptable
low,high,4,2,big,high,unacceptable
low,high,4,4,small,low,unacceptable
low,high,4,4,small,medium,acceptable
low,high,4,4,small,high,acceptable
low,high,4,4,medium,low,unacceptable
low,high,4,4,medium,medium,acceptable
low,high,4,4,medium,high,very_good
low,high,4,4,big,low,unacceptable
low,high,4,4,big,medium,acceptable
low,high,4,4,big,high,very_good
low,high,4,more,small,low,unacceptable
low,high,4,more,small,medium,acceptable
low,high,4,more,small,high,acceptable
low,high,4,more,medium,low,unacceptable
low,high,4,more,medium,medium,acceptable
low,high,4,more,medium,high,very_good
low,high,4,more,big,low,unacceptable
low,high,4,more,big,medium,acceptable
low,high,4,more,big,high,very_good
low,high,more,2,small,low,unacceptable
low,high,more,2,small,medium,unacceptable
low,high,more,2,small,high,unacceptable
low,high,more,2,medium,low,unacceptable
low,high,more,2,medium,medium,unacceptable
low,high,more,2,medium,high,unacceptable
low,high,more,2,big,low,unacceptable
low,high,more,2,big,medium,unacceptable
low,high,more,2,big,high,unacceptable
low,high,more,4,small,low,unacceptable
low,high,more,4,small,medium,acceptable
low,high,more,4,small,high,acceptable
low,high,more,4,medium,low,unacceptable
low,high,more,4,medium,medium,acceptable
low,high,more,4,medium,high,very_good
low,high,more,4,big,low,unacceptable
low,high,more,4,big,medium,acceptable
low,high,more,4,big,high,very_good
low,high,more,more,small,low,unacceptable
low,high,more,more,small,medium,acceptable
low,high,more,more,small,high,acceptable
low,high,more,more,medium,low,unacceptable
low,high,more,more,medium,medium,acceptable
low,high,more,more,medium,high,very_good
low,high,more,more,big,low,unacceptable
low,high,more,more,big,medium,acceptable
low,high,more,more,big,high,very_good
low,medium,2,2,small,low,unacceptable
low,medium,2,2,small,medium,unacceptable
low,medium,2,2,small,high,unacceptable
low,medium,2,2,medium,low,unacceptable
low,medium,2,2,medium,medium,unacceptable
low,medium,2,2,medium,high,unacceptable
low,medium,2,2,big,low,unacceptable
low,medium,2,2,big,medium,unacceptable
low,medium,2,2,big,high,unacceptable
low,medium,2,4,small,low,unacceptable
low,medium,2,4,small,medium,acceptable
low,medium,2,4,small,high,good
low,medium,2,4,medium,low,unacceptable
low,medium,2,4,medium,medium,acceptable
low,medium,2,4,medium,high,good
low,medium,2,4,big,low,unacceptable
low,medium,2,4,big,medium,good
low,medium,2,4,big,high,very_good
low,medium,2,more,small,low,unacceptable
low,medium,2,more,small,medium,unacceptable
low,medium,2,more,small,high,unacceptable
low,medium,2,more,medium,low,unacceptable
low,medium,2,more,medium,medium,acceptable
low,medium,2,more,medium,high,good
low,medium,2,more,big,low,unacceptable
low,medium,2,more,big,medium,good
low,medium,2,more,big,high,very_good
low,medium,3,2,small,low,unacceptable
low,medium,3,2,small,medium,unacceptable
low,medium,3,2,small,high,unacceptable
low,medium,3,2,medium,low,unacceptable
low,medium,3,2,medium,medium,unacceptable
low,medium,3,2,medium,high,unacceptable
low,medium,3,2,big,low,unacceptable
low,medium,3,2,big,medium,unacceptable
low,medium,3,2,big,high,unacceptable
low,medium,3,4,small,low,unacceptable
low,medium,3,4,small,medium,acceptable
low,medium,3,4,small,high,good
low,medium,3,4,medium,low,unacceptable
low,medium,3,4,medium,medium,acceptable
low,medium,3,4,medium,high,good
low,medium,3,4,big,low,unacceptable
low,medium,3,4,big,medium,good
low,medium,3,4,big,high,very_good
low,medium,3,more,small,low,unacceptable
low,medium,3,more,small,medium,acceptable
low,medium,3,more,small,high,good
low,medium,3,more,medium,low,unacceptable
low,medium,3,more,medium,medium,good
low,medium,3,more,medium,high,very_good
low,medium,3,more,big,low,unacceptable
low,medium,3,more,big,medium,good
low,medium,3,more,big,high,very_good
low,medium,4,2,small,low,unacceptable
low,medium,4,2,small,medium,unacceptable
low,medium,4,2,small,high,unacceptable
low,medium,4,2,medium,low,unacceptable
low,medium,4,2,medium,medium,unacceptable
low,medium,4,2,medium,high,unacceptable
low,medium,4,2,big,low,unacceptable
low,medium,4,2,big,medium,unacceptable
low,medium,4,2,big,high,unacceptable
low,medium,4,4,small,low,unacceptable
low,medium,4,4,small,medium,acceptable
low,medium,4,4,small,high,good
low,medium,4,4,medium,low,unacceptable
low,medium,4,4,medium,medium,good
low,medium,4,4,medium,high,very_good
low,medium,4,4,big,low,unacceptable
low,medium,4,4,big,medium,good
low,medium,4,4,big,high,very_good
low,medium,4,more,small,low,unacceptable
low,medium,4,more,small,medium,acceptable
low,medium,4,more,small,high,good
low,medium,4,more,medium,low,unacceptable
low,medium,4,more,medium,medium,good
low,medium,4,more,medium,high,very_good
low,medium,4,more,big,low,unacceptable
low,medium,4,more,big,medium,good
low,medium,4,more,big,high,very_good
low,medium,more,2,small,low,unacceptable
low,medium,more,2,small,medium,unacceptable
low,medium,more,2,small,high,unacceptable
low,medium,more,2,medium,low,unacceptable
low,medium,more,2,medium,medium,unacceptable
low,medium,more,2,medium,high,unacceptable
low,medium,more,2,big,low,unacceptable
low,medium,more,2,big,medium,unacceptable
low,medium,more,2,big,high,unacceptable
low,medium,more,4,small,low,unacceptable
low,medium,more,4,small,medium,acceptable
low,medium,more,4,small,high,good
low,medium,more,4,medium,low,unacceptable
low,medium,more,4,medium,medium,good
low,medium,more,4,medium,high,very_good
low,medium,more,4,big,low,unacceptable
low,medium,more,4,big,medium,good
low,medium,more,4,big,high,very_good
low,medium,more,more,small,low,unacceptable
low,medium,more,more,small,medium,acceptable
low,medium,more,more,small,high,good
low,medium,more,more,medium,low,unacceptable
low,medium,more,more,medium,medium,good
low,medium,more,more,medium,high,very_good
low,medium,more,more,big,low,unacceptable
low,medium,more,more,big,medium,good
low,medium,more,more,big,high,very_good
low,low,2,2,small,low,unacceptable
low,low,2,2,small,medium,unacceptable
low,low,2,2,small,high,unacceptable
low,low,2,2,medium,low,unacceptable
low,low,2,2,medium,medium,unacceptable
low,low,2,2,medium,high,unacceptable
low,low,2,2,big,low,unacceptable
low,low,2,2,big,medium,unacceptable
low,low,2,2,big,high,unacceptable
low,low,2,4,small,low,unacceptable
low,low,2,4,small,medium,acceptable
low,low,2,4,small,high,good
low,low,2,4,medium,low,unacceptable
low,low,2,4,medium,medium,acceptable
low,low,2,4,medium,high,good
low,low,2,4,big,low,unacceptable
low,low,2,4,big,medium,good
low,low,2,4,big,high,very_good
low,low,2,more,small,low,unacceptable
low,low,2,more,small,medium,unacceptable
low,low,2,more,small,high,unacceptable
low,low,2,more,medium,low,unacceptable
low,low,2,more,medium,medium,acceptable
low,low,2,more,medium,high,good
low,low,2,more,big,low,unacceptable
low,low,2,more,big,medium,good
low,low,2,more,big,high,very_good
low,low,3,2,small,low,unacceptable
low,low,3,2,small,medium,unacceptable
low,low,3,2,small,high,unacceptable
low,low,3,2,medium,low,unacceptable
low,low,3,2,medium,medium,unacceptable
low,low,3,2,medium,high,unacceptable
low,low,3,2,big,low,unacceptable
low,low,3,2,big,medium,unacceptable
low,low,3,2,big,high,unacceptable
low,low,3,4,small,low,unacceptable
low,low,3,4,small,medium,acceptable
low,low,3,4,small,high,good
low,low,3,4,medium,low,unacceptable
low,low,3,4,medium,medium,acceptable
low,low,3,4,medium,high,good
low,low,3,4,big,low,unacceptable
low,low,3,4,big,medium,good
low,low,3,4,big,high,very_good
low,low,3,more,small,low,unacceptable
low,low,3,more,small,medium,acceptable
low,low,3,more,small,high,good
low,low,3,more,medium,low,unacceptable
low,low,3,more,medium,medium,good
low,low,3,more,medium,high,very_good
low,low,3,more,big,low,unacceptable
low,low,3,more,big,medium,good
low,low,3,more,big,high,very_good
low,low,4,2,small,low,unacceptable
low,low,4,2,small,medium,unacceptable
low,low,4,2,small,high,unacceptable
low,low,4,2,medium,low,unacceptable
low,low,4,2,medium,medium,unacceptable
low,low,4,2,medium,high,unacceptable
low,low,4,2,big,low,unacceptable
low,low,4,2,big,medium,unacceptable
low,low,4,2,big,high,unacceptable
low,low,4,4,small,low,unacceptable
low,low,4,4,small,medium,acceptable
low,low,4,4,small,high,good
low,low,4,4,medium,low,unacceptable
low,low,4,4,medium,medium,good
low,low,4,4,medium,high,very_good
low,low,4,4,big,low,unacceptable
low,low,4,4,big,medium,good
low,low,4,4,big,high,very_good
low,low,4,more,small,low,unacceptable
low,low,4,more,small,medium,acceptable
low,low,4,more,small,high,good
low,low,4,more,medium,low,unacceptable
low,low,4,more,medium,medium,good
low,low,4,more,medium,high,very_good
low,low,4,more,big,low,unacceptable
low,low,4,more,big,medium,good
low,low,4,more,big,high,very_good
low,low,more,2,small,low,unacceptable
low,low,more,2,small,medium,unacceptable
low,low,more,2,small,high,unacceptable
low,low,more,2,medium,low,unacceptable
low,low,more,2,medium,medium,unacceptable
low,low,more,2,medium,high,unacceptable
low,low,more,2,big,low,unacceptable
low,low,more,2,big,medium,unacceptable
low,low,more,2,big,high,unacceptable
low,low,more,4,small,low,unacceptable
low,low,more,4,small,medium,acceptable
low,low,more,4,small,high,good
low,low,more,4,medium,low,unacceptable
low,low,more,4,medium,medium,good
low,low,more,4,medium,high,very_good
low,low,more,4,big,low,unacceptable
low,low,more,4,big,medium,good
low,low,more,4,big,high,very_good
low,low,more,more,small,low,unacceptable
low,low,more,more,small,medium,acceptable
low,low,more,more,small,high,good
low,low,more,more,medium,low,unacceptable
low,low,more,more,medium,medium,good
low,low,more,more,medium,high,very_good
low,low,more,more,big,low,unacceptable
low,low,more,more,big,medium,good
low,low,more,more,big,high,very_good
